url_length,num_dots_in_url,num_special_chars,num_subdomains,num_forms,num_inputs,num_password_fields,num_external_links,num_internal_links,num_hidden_fields,num_mailto_links,num_scripts,num_js_functions,has_eval_js,has_escape_js,has_unescape_js,has_settimeout_js,has_setinterval_js,has_https,suspicious_url,num_meta_tags,num_refresh_meta,num_iframes,num_hidden_iframes,num_images,num_images_with_suspicious_url,num_style_tags,num_inline_styles,num_onload_attributes,num_onerror_attributes,num_external_form_actions,label
7032,12,52,11,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,4,0,0,0,0
23676,205,1192,204,0,2,0,3,65,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,28,1,0,40,0,0,0,0
154373,935,5468,934,1,11,0,29,316,7,2,48,85,0,0,0,0,0,0,1,21,0,2,0,107,1,1,39,0,0,0,0
44520,721,1657,720,1,4,0,7,55,3,1,23,10,0,0,0,0,0,0,1,5,0,0,0,30,1,2,18,0,0,0,0
18307,322,760,321,0,1,0,37,0,0,0,17,4,0,0,0,0,0,0,1,10,0,1,0,36,1,0,8,0,0,0,0
6395,7,321,6,1,3,1,0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,32,0,0,0,1
294767,3055,13867,3054,2,14,2,563,17,0,0,59,11,0,1,1,0,0,0,1,8,0,4,0,173,1,1,666,0,0,0,0
12518,118,756,117,1,2,0,5,20,0,0,4,2,0,0,0,0,0,0,1,11,0,0,0,8,0,0,4,0,0,1,0
67927,786,3814,785,13,49,0,20,93,23,0,21,26,0,0,0,1,0,0,1,20,0,0,0,50,0,0,15,0,0,0,0
48948,1059,1507,1058,1,2,0,165,43,0,0,18,9,0,0,0,0,0,0,0,17,0,1,0,65,0,0,4,0,0,1,0
71670,1078,3813,1077,0,0,0,30,22,0,1,14,129,0,0,0,1,0,0,1,16,0,4,1,11,1,1,2,0,0,0,0
69161,1025,4069,1024,1,3,0,154,30,1,0,30,27,0,0,0,0,0,0,0,14,0,0,0,42,0,7,3,0,0,1,0
32901,314,1169,313,1,1,0,24,155,0,0,9,13,0,0,0,0,0,0,1,11,0,0,0,11,0,0,3,0,0,0,0
124720,1993,4939,1992,5,9,1,677,100,2,0,25,11,0,0,0,1,0,0,1,8,1,1,0,107,2,0,4,0,0,1,0
273523,3965,9793,3964,1,1,0,641,77,0,0,79,113,0,1,1,1,0,0,1,3,0,1,0,227,0,4,103,1,0,1,0
79865,388,2745,387,0,0,0,47,62,0,0,7,6,0,0,0,0,0,0,1,6,0,13,0,63,0,0,71,0,0,0,0
13300,155,355,154,1,13,1,5,2,7,0,15,4,0,0,0,0,0,0,1,9,0,0,0,1,0,1,2,0,0,0,1
189295,8408,11004,8407,1,6,0,34,4,3,0,11,811,0,0,0,1,0,0,1,2,0,0,0,1,0,8,39,3,0,0,0
1757,16,57,15,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
21551,341,781,340,1,1,0,33,9,0,0,37,4,0,0,0,0,0,0,1,7,0,0,0,24,0,0,2,0,0,1,1
211295,891,6742,890,1,9,0,29,33,5,0,62,71,0,0,0,0,0,0,0,22,0,0,0,16,0,2,23,0,0,0,0
2131,9,91,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,1
27969,305,1026,304,0,0,0,8,64,0,0,17,20,0,1,1,0,0,0,1,6,0,3,0,6,0,0,25,1,0,0,0
1188,11,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,0
127242,2525,4032,2524,1,31,1,12,1,29,0,29,84,1,1,1,1,0,0,1,3,0,0,0,4,1,18,5,0,0,0,1
32195,291,1186,290,1,6,1,0,3,2,0,5,0,0,0,0,0,0,0,1,2,0,0,0,4,0,13,1,0,0,0,1
163997,823,4991,822,2,19,0,36,241,12,0,35,3,0,1,1,0,0,0,1,13,0,1,0,43,0,2,19,0,0,1,0
67177,1949,3579,1948,0,1,0,11,2,0,0,25,107,0,1,1,1,1,0,1,2,0,3,0,2,0,3,20,0,0,0,1
192269,907,9694,906,1,2,0,400,79,0,0,30,14,0,0,0,0,0,0,1,13,0,0,0,138,0,2,51,0,0,1,0
6549,82,131,81,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
90902,584,3706,583,1,4,1,69,68,1,0,7,5,0,1,1,0,0,0,1,5,0,6,0,130,0,0,509,0,0,0,0
108,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91738,1240,2869,1239,3,6,0,47,122,2,0,86,68,0,1,1,0,0,0,1,20,0,2,0,19,0,0,1,0,0,0,0
30918,504,877,503,1,2,0,0,245,0,1,8,8,0,0,0,0,0,0,0,1,0,4,0,138,0,1,11,0,0,0,0
63224,1052,4021,1051,1,1,0,54,21,0,0,21,139,0,0,0,0,0,0,1,20,0,1,0,15,0,5,19,0,0,1,0
35083,316,1335,315,1,3,0,14,44,2,0,22,52,0,0,0,0,0,0,1,18,0,2,0,35,30,0,4,0,0,1,0
58541,688,2088,687,1,2,0,137,11,0,0,10,3,0,0,0,0,0,0,1,56,0,1,0,45,0,0,1,0,0,1,0
135,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57688,784,3029,783,2,2,0,181,10,0,0,27,17,1,0,0,0,0,0,0,14,0,0,0,20,0,0,73,0,0,0,0
41491,519,1435,518,2,6,0,177,22,2,0,17,9,0,0,0,0,0,0,1,3,0,11,0,8,0,1,26,0,0,2,0
4888,94,176,93,1,5,0,14,1,3,0,6,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0
84839,1040,3231,1039,2,10,0,29,216,7,1,22,26,0,1,1,1,0,0,1,20,0,0,0,57,1,1,39,0,12,0,0
41287,658,1399,657,4,12,1,171,0,4,0,9,4,0,0,0,0,0,0,1,10,0,0,0,37,5,0,3,0,0,0,1
62269,205,2173,204,1,2,0,1,491,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0,121,0,0,0,0,0,0,0
80632,749,3089,748,1,1,0,87,128,0,2,26,34,0,0,0,1,0,0,1,8,0,3,0,35,0,1,176,0,0,0,0
29590,335,1208,334,1,3,1,4,0,0,0,1,2,0,0,0,0,0,0,1,5,0,1,0,4,0,12,8,0,0,0,1
7852,114,262,113,1,2,0,1,26,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,12,0,1,4,0,0,0,0
7314,27,92,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1
82305,411,3489,410,1,5,0,42,204,3,0,32,22,0,1,0,1,1,0,1,11,0,3,0,33,0,0,7,0,0,0,0
3697,20,136,19,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,8,1,3,0,0,0,0,1
200266,3459,7388,3458,1,1,0,1236,42,0,0,11,5,0,1,1,0,1,0,1,5,0,0,0,61,0,0,209,0,0,0,0
